x,y,z
-993.0070334901823,-888.792614875078,-13.754299565887294
-992.1635204913001,-888.4074458853906,-13.821797281535382
-991.320007492418,-888.0207747897089,-13.889877805352931
-990.4764944935359,-887.6326015880331,-13.958542642383954
-989.6329814946537,-887.2429262803635,-14.02779330025561
-988.7894684957716,-886.8517488666994,-14.097631289152055
-987.9459554968895,-886.4590693470409,-14.16805812178692
-987.1024424980073,-886.0648877213885,-14.239075313376254
-986.2589294991252,-885.6692039897418,-14.3106843816105
-985.415416500243,-885.2720181521008,-14.38288684662654
-984.5719035013609,-884.8733302084659,-14.455684230979344
-983.7283905024788,-884.4731401588367,-14.529078059613113
-982.8848775035966,-884.0714480032132,-14.603069859832303
-982.0413645047145,-883.6682537415954,-14.677661161271843
-981.1978515058324,-883.2635573739838,-14.752853495867427
-980.3543385069503,-882.8573589003779,-14.828648397825695
-979.5108255080681,-882.4496583207774,-14.905047403593187
-978.667312509186,-882.0404556351832,-14.982052051825477
-977.8237995103038,-881.6297508435946,-15.059663883356322
-976.9802865114217,-881.2175439460118,-15.137884441165383
-976.1367735125395,-880.8038349424348,-15.216715270346718
-975.2932605136574,-880.3886238328637,-15.296157918075956
-974.4497475147753,-879.9719106172984,-15.376213933577866
-973.6062345158931,-879.5536952957389,-15.456884868092843
-972.762721517011,-879.1339778681852,-15.53817227484361
-971.9192085181289,-878.7127583346373,-15.62007770900096
-971.0756955192468,-878.2900366950951,-15.70260272764979
-970.2321825203646,-877.8658129495589,-15.785748889753783
-969.3886695214825,-877.4400870980285,-15.869517756120821
-968.5451565226003,-877.0128591405037,-15.95391088936703
-967.7016435237182,-876.5841290769849,-16.03892985388105
-966.858130524836,-876.153896907472,-16.124576215787236
-966.0146175259539,-875.7221626319647,-16.21085154290948
-965.1711045270717,-875.2889262504632,-16.297757404733375
-964.3275915281897,-874.8541877629677,-16.385295372368816
-963.4840785293075,-874.4179471694779,-16.473467018512046
-962.6405655304254,-873.9802044699939,-16.562273917406905
-961.7970525315433,-873.5409596645156,-16.651717644806
